Link,Node_Start,Longitude_Start,Latitude_Start,Node_End,Longitude_End,Latitude_End,Length,Time,Data1,Data2,Data3,Data4,Data5,Data6,Data7,Data8,Data9,Data10,Data11,Data12,Data13,Data14,Data15,Data16
4583,1469,104.0637469,30.64866629,1837,104.0637012,30.64989872,136.6603375,17.067241499279998,39.16128,0.0,0.0,0.0,42.9392,0.0,24.250298,42.148895,0.0,37.81722,13.06728,0.0,32.204388,52.5686,18.187588,0.0
4584,1470,104.09872320000001,30.64521317,737,104.0985074,30.64632943,125.4311527,17.400731749800002,31.475443,0.0,0.0,0.0,40.72009,0.0,18.88981,50.169308,0.0,22.718231,22.151773,0.0,50.271427,47.894386,26.560223,0.0
4585,1470,104.09872320000001,30.64521317,911,104.0983198,30.64447256,90.72935611,10.700270693300002,19.458714,0.0,0.0,0.0,27.653334,0.0,2.3241677,35.10776,0.0,10.123055,15.274842,0.0,29.191376,26.22041,32.958755,0.0
4586,1471,104.0558742,30.73252706,272,104.0557475,30.73512754,288.4706731,23.9968519572,48.20793,0.0,0.0,0.0,49.2319,0.0,39.10035,62.12025,0.0,22.978575,25.472195,0.0,84.47335,61.909203,44.626976,0.0
4587,1471,104.0558742,30.73252706,1019,104.0494214,30.73264506,617.9361295,53.788870987,104.85193,0.0,0.0,0.0,100.85828,0.0,59.82645,142.39502,0.0,75.53729,72.7548,0.0,175.03119,135.38394,94.57178,0.0
4588,1471,104.0558742,30.73252706,1288,104.0620712,30.73250066,593.3136126,50.6747588498,101.88653,0.0,0.0,0.0,106.09779,0.0,60.628315,142.06444,0.0,53.66328,81.55663,0.0,161.63661,119.84449,94.620346,0.0
4589,1471,104.0558742,30.73252706,1699,104.0558705,30.72777242,526.9643699,44.85194031059999,93.09278,0.0,0.0,0.0,95.32683,0.0,40.715282,126.99511,0.0,40.068844,79.38405,0.0,109.6922,132.98622,62.744656,0.0
4590,1472,104.0411563,30.63977679,9,104.04040440000001,30.638665200000002,142.7229606,20.2858469098,43.852386,0.0,0.0,0.0,34.207497,0.0,9.5839405,65.35037,0.0,19.17584,25.549885,0.0,43.709015,62.27869,50.157616,0.0
4591,1472,104.0411563,30.63977679,57,104.0442801,30.63824024,344.4107303,49.3707631122,97.31963,0.0,0.0,0.0,101.9564,0.0,46.7941,127.553825,0.0,58.05457,57.45654,0.0,146.4465,143.08173,89.67535,0.0
4592,1472,104.0411563,30.63977679,1801,104.0418597,30.64092887,144.3851658,25.843228113400002,55.376476,0.0,0.0,0.0,27.052862,0.0,18.965971,74.981445,0.0,4.1178393,67.47898,0.0,61.582737,88.71939,19.170443,0.0
4593,1473,104.10151450000001,30.64422921,597,104.103721,30.64768079,437.0810983,44.3672720304,92.76135,0.0,0.0,0.0,86.54417,0.0,16.207762,123.13504,0.0,36.551235,71.35887,0.0,119.81374,126.84739,100.49465,0.0
4594,1473,104.10151450000001,30.64422921,1072,104.1010221,30.64333997,109.266746,15.341117746759998,29.32683,0.0,0.0,0.0,53.759224,0.0,0.0,42.248688,0.0,14.162441,41.36544,0.0,46.990982,24.580347,49.525295,0.0
4595,1473,104.10151450000001,30.64422921,1782,104.09912920000001,30.64644369,335.3831085,37.315207673799996,79.902626,0.0,0.0,0.0,68.37744,0.0,40.82906,108.93493,0.0,28.486017,69.33174,0.0,92.57692,109.43278,61.741676,0.0
4596,1474,104.0641104,30.71169341,749,104.0643009,30.71280217,124.232046,15.355675578400001,31.596983,0.0,0.0,0.0,27.189436,0.0,4.741806,45.669582,0.0,11.774519,24.94793,0.0,44.624,41.45779,20.558067,0.0
4597,1474,104.0641104,30.71169341,773,104.06174909999999,30.71034299,271.1658856,32.4941149574,69.280045,0.0,0.0,0.0,60.565414,0.0,35.175957,103.55387,0.0,39.938747,32.055653,0.0,99.56268,74.597015,50.496956,0.0
4598,1474,104.0641104,30.71169341,844,104.063411,30.70790007,425.72178660000003,50.500642250400006,81.06659,0.0,0.0,0.0,113.50866,0.0,69.62128,152.1589,0.0,52.6963,59.68824,0.0,147.23354,154.68459,93.13485,0.0
4599,1475,104.0214793,30.67608461,733,104.022412,30.67849209,281.387117,54.92790310899999,118.04363,0.0,0.0,0.0,62.29905,0.0,42.51778,177.17587,0.0,30.636091,89.119026,0.0,160.79092,143.265,131.37529,0.0
4600,1475,104.0214793,30.67608461,1747,104.0255582,30.67516952,403.6988235,53.9186825702,66.29209,0.0,0.0,0.0,159.38086,0.0,18.927189,72.813866,0.0,9.114563,127.18004,0.0,252.57944,153.92003,156.07362,0.0
4601,1475,104.0214793,30.67608461,1869,104.0192811,30.67648682,215.24899469999997,53.3604983374,98.37955,0.0,0.0,0.0,180.9532,0.0,32.55788,175.63493,0.0,48.198254,51.595467,0.0,198.6348,79.47952,116.78037,0.0
4602,1476,104.0783778,30.64675931,721,104.0808711,30.64973437,407.188637,53.5058916736,124.74253,0.0,0.0,0.0,209.44357,0.0,89.72396,107.18999,0.0,167.028,50.819763,0.0,97.83393,137.0769,19.853313,0.0
4603,1476,104.0783778,30.64675931,1044,104.0751968,30.64830309,349.55130049999997,40.300572818,86.94206,0.0,0.0,0.0,71.45415,0.0,41.736233,112.39365,0.0,42.871006,44.601543,0.0,122.876274,107.27313,67.027084,0.0
4604,1476,104.0783778,30.64675931,1596,104.0780189,30.64613707,77.06165691,10.9643274976,25.984346,0.0,0.0,0.0,26.064249,0.0,9.756894,37.354984,0.0,7.8523746,6.2898674,0.0,34.961323,20.745615,19.469646,0.0
4605,1476,104.0783778,30.64675931,1824,104.08047420000001,30.64586314,224.10295299999999,25.8830638378,53.809937,0.0,0.0,0.0,0.0,0.0,21.639925,77.506996,0.0,34.743633,33.76375,0.0,77.33832,84.24338,36.87606,0.0
4606,1477,103.9994992,30.68075283,97,104.00168029999999,30.67972348,238.0516,29.927971644800003,59.03809,0.0,0.0,0.0,65.608376,0.0,31.204548,94.891396,0.0,20.376211,47.726307,0.0,80.86768,81.05768,38.23463,0.0
4607,1477,103.9994992,30.68075283,637,103.99649670000001,30.68224322,331.68082400000003,40.8167773354,79.32056,0.0,0.0,0.0,88.74631,0.0,29.824358,120.06596,0.0,56.79043,52.73381,0.0,108.91274,109.91615,66.80129,0.0
4608,1477,103.9994992,30.68075283,772,103.9978433,30.6784115,304.1354992,36.1919592664,62.04275,0.0,0.0,0.0,97.84205,0.0,28.497906,102.032745,0.0,39.91056,57.28197,0.0,102.87934,99.4523,79.06359,0.0
4609,1477,103.9994992,30.68075283,1241,104.0008267,30.68310339,289.8960949,33.4521884528,62.78292,0.0,0.0,0.0,81.80711,0.0,35.20808,96.887184,0.0,32.341488,53.584698,0.0,93.572815,90.87702,61.15058,0.0
4610,1478,104.04610670000001,30.62830695,1085,104.0479102,30.62708542,219.5580875,37.482201863,70.159164,0.0,0.0,0.0,101.74061,0.0,17.411804,101.61723,0.0,27.028206,48.231117,0.0,111.93093,106.27706,91.584335,0.0
4611,1478,104.04610670000001,30.62830695,1817,104.047209,30.63016364,231.31009410000001,47.08713288699999,74.93864,0.0,0.0,0.0,78.50961,0.0,40.226036,140.25478,0.0,55.411907,45.079075,0.0,182.59798,114.06733,96.65101,0.0
4612,1479,104.0879033,30.64936446,753,104.08582309999998,30.65025995,222.6732767,28.645523556399997,49.362755,0.0,0.0,0.0,25.703568,0.0,28.986311,88.270836,0.0,49.18007,48.876007,0.0,96.66536,68.919205,41.346447,0.0
